DT,LO,LH,LL,LC,LV,MO,MH,ML,MC
2024-11-08 09:15:00+05:30,0.0,24.35,0.0,24.35,100.0,24207.7,24220.45,24122.25,24125.9
2024-11-08 09:16:00+05:30,25.0,25.05,25.0,25.05,1000.0,24128.4,24144.35,24117.75,24118.55
2024-11-08 09:17:00+05:30,27.05,27.05,27.0,27.0,2100.0,24116.8,24116.8,24090.85,24109.6
2024-11-08 09:18:00+05:30,28.1,28.1,26.2,26.2,2975.0,24110.15,24114.25,24100.15,24102.65
2024-11-08 09:19:00+05:30,27.35,27.35,27.35,27.35,,24102.15,24104.3,24077.35,24086.75
2024-11-08 09:20:00+05:30,29.55,29.55,29.55,29.55,3875.0,24085.9,24085.9,24067.45,24074.05
2024-11-08 09:21:00+05:30,29.1,29.9,28.7,29.9,5025.0,24073.3,24102.7,24072.15,24089.75
2024-11-08 09:22:00+05:30,29.6,29.6,29.6,29.6,5050.0,24090.15,24094.5,24075.6,24077.45
2024-11-08 09:23:00+05:30,30.25,30.25,30.25,30.25,5150.0,24077.4,24086.55,24076.5,24083.15
2024-11-08 09:24:00+05:30,30.0,30.0,30.0,30.0,5375.0,24083.2,24094.4,24074.25,24091.55
2024-11-08 09:25:00+05:30,25.4,26.65,25.4,26.65,6250.0,24092.5,24148.85,24092.5,24148.85
2024-11-08 09:26:00+05:30,24.0,24.0,22.5,23.6,7575.0,24153.05,24192.3,24153.05,24167.75
2024-11-08 09:27:00+05:30,24.5,24.5,24.5,24.5,7700.0,24166.8,24167.7,24126.1,24132.4
2024-11-08 09:28:00+05:30,24.5,24.5,24.5,24.5,7875.0,24133.8,24156.1,24132.2,24154.9
2024-11-08 09:30:00+05:30,23.5,24.65,23.5,24.5,8325.0,24170.35,24171.4,24155.65,24170.65
2024-11-08 09:31:00+05:30,21.5,21.5,21.5,21.5,8500.0,24170.45,24207.05,24167.85,24199.55
2024-11-08 09:32:00+05:30,21.95,22.05,21.7,22.0,18225.0,24199.45,24204.2,24186.9,24187.4
2024-11-08 09:33:00+05:30,21.9,22.55,21.9,22.55,20625.0,24189.65,24189.65,24171.4,24174.0
2024-11-08 09:34:00+05:30,21.75,21.75,21.2,21.2,21300.0,24174.65,24189.15,24174.6,24186.35
2024-11-08 09:35:00+05:30,20.95,22.5,20.95,22.5,21475.0,24191.0,24194.25,24172.55,24173.9
2024-11-08 09:36:00+05:30,23.55,23.55,23.55,23.55,21725.0,24171.1,24172.15,24147.85,24155.85
2024-11-08 09:37:00+05:30,24.45,24.45,23.75,23.75,21800.0,24155.3,24161.4,24141.2,24155.35
2024-11-08 09:44:00+05:30,21.1,21.1,20.35,20.6,22575.0,24185.9,24187.8,24174.55,24183.55
2024-11-08 09:45:00+05:30,20.5,20.5,16.35,16.35,62650.0,24183.3,24253.5,24183.3,24252.25
