DT,LO,LH,LL,LC,LV,MO,MH,ML,MC
2024-11-12 15:00:00+05:30,827.9,830.7,827.9,830.7,75.0,23923.45,23929.7,23908.25,23912.25
2024-11-14 09:20:00+05:30,554.2,554.2,533.45,533.45,75.0,23604.9,23607.35,23578.3,23578.5
2024-11-14 09:21:00+05:30,532.5,532.5,520.4,527.8,150.0,23580.1,23583.25,23558.4,23567.05
2024-11-14 09:22:00+05:30,516.65,536.05,516.65,536.05,225.0,23565.7,23602.2,23559.55,23599.8
2024-11-14 09:23:00+05:30,552.7,552.7,542.15,542.15,300.0,23601.7,23606.5,23591.1,23599.9
2024-11-14 09:24:00+05:30,553.5,555.25,553.3,555.25,375.0,23599.55,23624.1,23599.55,23615.1
2024-11-14 09:25:00+05:30,544.05,554.4,544.05,554.4,700.0,23614.5,23623.3,23607.1,23620.65
2024-11-14 09:26:00+05:30,549.1,549.1,534.35,534.35,775.0,23619.75,23619.75,23596.65,23604.25
2024-11-14 09:27:00+05:30,539.25,546.55,537.4,537.4,850.0,23603.9,23608.8,23595.85,23600.95
2024-11-14 09:28:00+05:30,534.15,534.15,523.55,523.55,925.0,23601.05,23601.05,23578.75,23583.75
2024-11-14 09:29:00+05:30,521.95,529.7,521.95,529.7,1000.0,23584.05,23587.65,23572.65,23581.6
2024-11-14 09:30:00+05:30,528.9,530.85,524.2,524.2,1075.0,23581.2,23592.8,23576.05,23577.4
2024-11-14 09:31:00+05:30,527.05,529.5,522.85,522.85,1150.0,23578.35,23600.65,23578.3,23584.95
2024-11-14 09:32:00+05:30,528.6,528.6,518.95,518.95,1225.0,23584.5,23593.55,23576.95,23586.7
2024-11-14 09:33:00+05:30,517.0,526.3,517.0,526.3,1300.0,23584.95,23595.4,23575.35,23586.7
2024-11-14 09:34:00+05:30,525.75,533.25,525.75,528.2,1375.0,23586.15,23603.05,23584.85,23586.55
2024-11-14 09:35:00+05:30,518.9,521.75,515.55,521.75,1450.0,23587.55,23590.65,23577.4,23582.4
2024-11-14 09:36:00+05:30,518.05,528.5,518.05,528.5,1525.0,23582.6,23600.6,23578.95,23589.15
2024-11-14 09:37:00+05:30,522.75,524.65,518.35,524.65,1600.0,23590.05,23591.4,23581.3,23585.1
2024-11-14 09:38:00+05:30,517.2,524.95,517.2,524.95,1675.0,23585.0,23596.1,23576.05,23585.2
2024-11-14 09:39:00+05:30,519.35,527.7,517.5,517.5,1750.0,23588.0,23591.85,23582.7,23587.05
2024-11-14 09:40:00+05:30,516.9,516.9,513.2,513.2,1825.0,23587.85,23588.4,23573.95,23582.3
2024-11-14 09:41:00+05:30,516.1,521.45,513.75,513.75,1900.0,23581.85,23593.5,23515.1,23515.1
2024-11-14 09:42:00+05:30,468.75,492.55,468.75,492.55,1975.0,23509.95,23557.45,23502.55,23556.0
2024-11-14 09:43:00+05:30,495.95,499.95,495.95,499.8,2050.0,23557.85,23572.3,23550.55,23572.3
2024-11-14 09:44:00+05:30,513.0,513.0,503.05,510.3,2125.0,23570.95,23584.05,23564.5,23575.05
2024-11-14 09:45:00+05:30,510.05,510.25,503.1,510.25,2250.0,23575.15,23577.1,23563.55,23574.45
2024-11-14 09:46:00+05:30,504.3,529.95,504.3,529.95,2325.0,23573.9,23595.3,23558.8,23589.05
2024-11-14 09:47:00+05:30,519.65,526.35,519.65,525.0,2500.0,23588.95,23597.9,23586.35,23588.7
2024-11-14 09:48:00+05:30,522.95,522.95,520.65,522.2,2575.0,23588.5,23591.95,23574.5,23575.1
2024-11-14 09:49:00+05:30,509.4,513.15,509.4,513.15,2625.0,23575.5,23585.45,23570.55,23573.85
2024-11-14 09:50:00+05:30,507.9,507.9,507.9,507.9,2650.0,23572.35,23578.35,23565.35,23578.05
2024-11-14 09:51:00+05:30,505.55,505.55,505.55,505.55,2725.0,23578.15,23578.65,23565.05,23570.75
2024-11-14 09:52:00+05:30,508.75,508.75,508.75,508.75,2800.0,23570.2,23579.25,23563.55,23566.4
2024-11-14 09:54:00+05:30,506.55,506.55,506.55,506.55,2850.0,23571.45,23585.25,23571.45,23572.55
2024-11-14 09:55:00+05:30,527.3,527.3,527.3,527.3,2975.0,23572.65,23597.85,23572.65,23595.05
2024-11-14 09:59:00+05:30,535.9,535.9,535.9,535.9,4550.0,23602.1,23603.4,23595.0,23596.65
2024-11-14 10:00:00+05:30,535.0,555.0,535.0,555.0,5850.0,23597.2,23642.55,23594.9,23641.1
2024-11-14 10:02:00+05:30,575.45,580.0,568.4,580.0,6275.0,23651.05,23657.0,23641.95,23655.95
2024-11-14 10:13:00+05:30,562.2,562.2,562.2,562.2,6325.0,23627.1,23633.8,23625.3,23630.9
2024-11-14 10:14:00+05:30,547.2,547.2,547.2,547.2,6375.0,23629.3,23629.3,23612.85,23616.9
2024-11-14 10:15:00+05:30,540.25,540.25,540.25,540.25,6675.0,23617.75,23618.05,23609.3,23615.9
2024-11-14 10:19:00+05:30,539.6,539.6,539.6,539.6,6925.0,23611.6,23612.2,23600.75,23603.8
2024-11-14 10:22:00+05:30,538.1,538.1,538.1,538.1,6975.0,23608.35,23613.15,23600.3,23613.15
2024-11-14 10:29:00+05:30,523.25,523.25,523.25,523.25,7075.0,23596.7,23596.7,23586.2,23586.5
2024-11-14 10:38:00+05:30,515.0,515.0,515.0,515.0,7100.0,23591.7,23597.6,23581.0,23595.0
2024-11-14 10:43:00+05:30,500.25,500.25,500.25,500.25,7200.0,23580.75,23583.9,23577.4,23578.4
2024-11-14 10:54:00+05:30,478.7,478.7,478.7,478.7,7225.0,23556.5,23557.8,23549.55,23552.85
2024-11-14 10:55:00+05:30,478.0,478.0,478.0,478.0,7425.0,23554.3,23563.3,23550.7,23561.65
2024-11-14 10:57:00+05:30,479.9,479.9,479.9,479.9,7525.0,23552.05,23562.8,23552.05,23558.6
2024-11-14 10:58:00+05:30,480.45,480.45,480.45,480.45,7550.0,23558.75,23561.15,23547.8,23558.35
2024-11-14 11:01:00+05:30,468.0,468.0,468.0,468.0,7575.0,23554.65,23554.65,23538.05,23541.85
2024-11-14 11:02:00+05:30,463.4,463.4,463.4,463.4,7675.0,23541.2,23543.7,23537.65,23540.25
2024-11-14 11:13:00+05:30,426.7,426.7,423.3,423.3,7775.0,23498.85,23501.8,23486.7,23489.7
2024-11-14 11:14:00+05:30,421.75,421.75,421.75,421.75,7875.0,23491.5,23499.65,23489.9,23490.9
2024-11-14 11:21:00+05:30,430.0,430.0,428.0,428.0,7925.0,23500.65,23503.8,23495.25,23502.6
2024-11-14 11:23:00+05:30,434.5,434.5,434.5,434.5,8175.0,23508.25,23509.7,23500.7,23503.4
2024-11-14 11:27:00+05:30,434.85,434.85,434.85,434.85,8325.0,23504.85,23510.35,23500.1,23508.5
2024-11-14 11:31:00+05:30,425.6,425.6,425.6,425.6,8575.0,23502.7,23503.1,23497.0,23501.85
2024-11-14 11:32:00+05:30,425.6,425.6,425.6,425.6,8625.0,23503.4,23507.05,23497.75,23501.85
2024-11-14 11:34:00+05:30,443.0,443.0,443.0,443.0,8675.0,23509.55,23521.2,23507.85,23520.75
2024-11-14 11:40:00+05:30,433.4,433.4,433.4,433.4,8925.0,23508.2,23516.1,23506.7,23510.65
2024-11-14 11:41:00+05:30,438.0,438.0,436.7,436.7,9025.0,23510.95,23518.75,23509.6,23518.75
2024-11-14 11:47:00+05:30,434.25,434.25,434.25,434.25,9275.0,23517.2,23517.8,23507.2,23510.9
2024-11-14 11:48:00+05:30,436.8,437.0,436.35,436.35,10025.0,23511.2,23515.35,23509.35,23513.65
