,DT,LO,LH,LL,LC,LV,MO,MH,ML,MC
0,1730864820,69.5,69.5,69.5,69.5,,24264.3,24267.7,24234.9,24242.05
1,1730864880,67.65,69.35,67.65,69.35,125.0,24240.75,24260.8,24234.25,24256.7
2,1730864940,67.1,67.9,67.1,67.65,,24254.85,24272.6,24250.5,24262.9
3,1730865000,69.7,69.7,69.7,69.7,350.0,24263.6,24263.6,24229.05,24234.35
4,1730865060,72.15,72.8,71.3,71.3,975.0,24232.8,24239.35,24223.55,24233.7
5,1730865120,73.05,74.25,72.5,73.7,3075.0,24233.6,24234.75,24204.5,24206.35
6,1730865180,71.05,71.05,71.05,71.05,,24207.25,24233.05,24206.6,24229.2
7,1730865240,70.75,70.75,67.65,67.65,3150.0,24229.05,24267.3,24229.05,24265.25
8,1730865300,66.85,66.85,66.85,66.85,3275.0,24264.2,24284.3,24253.7,24283.2
9,1730865420,62.05,62.05,61.95,61.95,,24292.6,24299.55,24290.4,24298.9
10,1730865480,60.5,61.5,59.7,60.5,3500.0,24297.9,24312.35,24297.9,24311.45
11,1730865540,58.4,58.4,53.6,53.6,5875.0,24309.9,24343.85,24309.3,24343.85
12,1730865600,50.0,53.2,50.0,53.2,,24344.85,24349.3,24336.9,24338.55
13,1730865660,52.1,54.2,52.05,53.6,6800.0,24337.75,24343.3,24332.55,24338.55
14,1730865720,52.6,55.4,52.6,54.8,9250.0,24338.45,24338.45,24324.8,24331.65
15,1730865780,54.75,55.45,54.75,55.45,10100.0,24331.05,24332.7,24318.75,24319.05
16,1730865840,55.65,56.2,55.65,56.2,,24320.2,24326.9,24319.05,24326.4
17,1730865900,56.4,57.0,56.1,56.65,10400.0,24327.3,24332.6,24308.75,24311.1
18,1730865960,58.3,61.9,58.3,61.6,13925.0,24311.55,24314.35,24295.15,24304.8
19,1730866020,62.2,62.2,60.35,60.35,14925.0,24304.2,24319.4,24301.7,24316.65
20,1730866080,60.2,60.55,59.05,59.05,,24316.6,24327.4,24315.45,24325.2
21,1730866140,56.95,56.95,56.15,56.15,15375.0,24325.7,24342.8,24325.65,24336.75
22,1730866200,56.45,56.45,56.45,56.45,15550.0,24336.6,24352.5,24336.6,24340.65
23,1730866380,57.4,57.4,57.4,57.4,,24328.75,24329.75,24323.8,24326.25
24,1730866440,57.05,57.05,56.75,56.75,16050.0,24324.1,24347.3,24324.1,24346.4
25,1730866500,55.8,55.8,53.85,53.85,16500.0,24346.75,24353.35,24340.5,24352.15
26,1730866560,52.8,53.35,52.8,53.35,16675.0,24351.45,24367.95,24350.75,24363.2
27,1730866620,52.95,52.95,51.6,51.95,,24362.65,24378.75,24360.5,24377.2
28,1730866680,51.25,51.85,51.2,51.2,17575.0,24376.55,24387.25,24375.5,24387.25
29,1730866740,50.0,50.55,50.0,50.55,18200.0,24387.6,24390.5,24381.2,24384.85
30,1730866860,50.05,50.05,50.05,50.05,18500.0,24384.9,24396.45,24383.55,24387.4
31,1730866920,50.05,50.05,50.05,50.05,18525.0,24386.8,24386.8,24371.7,24374.1
32,1730867040,51.25,51.7,51.25,51.7,18700.0,24365.85,24369.05,24358.2,24359.75
33,1730867100,53.8,53.8,53.8,53.8,,24359.15,24366.1,24344.1,24346.5
34,1730867160,55.0,55.0,55.0,55.0,18725.0,24347.0,24353.2,24343.65,24349.3
35,1730867220,54.35,55.0,54.35,55.0,18775.0,24349.05,24351.7,24343.7,24346.8
36,1730867280,55.0,55.0,55.0,55.0,18825.0,24347.75,24359.55,24346.65,24357.3
