,DT,LO,LH,LL,LC,LV,MO,MH,ML,MC
0,1730865000,890.6,890.6,890.6,890.6,,24263.6,24263.6,24229.05,24234.35
1,1730865060,890.0,890.0,890.0,890.0,50.0,24232.8,24239.35,24223.55,24233.7
2,1730865120,890.0,890.0,890.0,890.0,175.0,24233.6,24234.75,24204.5,24206.35
3,1730866440,990.5,990.5,990.5,990.5,,24324.1,24347.3,24324.1,24346.4
4,1730866500,973.8,980.85,973.8,980.85,250.0,24346.75,24353.35,24340.5,24352.15
5,1730866620,995.3,995.3,995.3,995.3,,24362.65,24378.75,24360.5,24377.2
6,1730866680,995.3,995.3,995.3,995.3,350.0,24376.55,24387.25,24375.5,24387.25
7,1730868000,1050.05,1050.05,1041.6,1041.6,425.0,24404.75,24406.65,24392.6,24395.6
8,1730868060,1041.65,1044.75,1041.65,1042.45,,24396.4,24398.75,24391.0,24393.55
9,1730868120,1042.2,1044.45,1034.1,1044.45,950.0,24393.75,24394.85,24385.35,24391.85
10,1730868180,1028.55,1029.8,1028.55,1029.8,1250.0,24391.6,24391.6,24375.2,24377.25
11,1730868240,1029.75,1030.9,1029.75,1030.9,1325.0,24377.05,24381.25,24375.15,24379.25
12,1730868300,1032.6,1037.45,1029.95,1029.95,1575.0,24379.9,24386.2,24369.15,24369.15
13,1730868360,1033.8,1033.8,1023.05,1025.65,1700.0,24369.2,24374.15,24364.65,24373.0
14,1730868420,1026.65,1027.9,1021.85,1027.9,,24371.1,24379.5,24366.05,24378.7
15,1730868480,1024.5,1039.8,1024.5,1039.8,2900.0,24378.95,24388.1,24376.15,24386.55
16,1730868540,1044.65,1044.65,1030.75,1030.75,4400.0,24387.05,24390.55,24375.2,24375.2
17,1730868600,1024.7,1030.9,1023.25,1024.3,5950.0,24376.5,24377.0,24370.65,24373.15
18,1730868660,1024.45,1024.45,1024.45,1024.45,6150.0,24373.85,24377.35,24370.4,24373.75
19,1730869680,952.75,952.75,952.75,952.75,6175.0,24318.45,24324.65,24310.75,24324.65
20,1730869740,970.45,970.45,970.45,970.45,,24323.9,24333.65,24323.9,24328.95
21,1730869800,970.45,970.45,970.45,970.45,6200.0,24328.55,24330.25,24312.5,24313.05
22,1730872560,1000.05,1000.7,1000.05,1000.7,,24365.8,24372.05,24363.8,24370.55
23,1730872620,1000.7,1000.7,1000.7,1000.7,6250.0,24370.35,24372.05,24365.65,24367.1
24,1730872860,993.85,993.85,993.35,993.35,,24365.75,24376.25,24363.25,24373.35
25,1730872920,993.35,993.35,993.35,993.35,6350.0,24373.9,24376.1,24371.5,24375.2
26,1730875980,1035.35,1035.35,1035.35,1035.35,,24417.0,24417.5,24405.1,24407.45
27,1730876040,1035.35,1035.35,1035.35,1035.35,6375.0,24408.5,24410.6,24399.1,24410.4
28,1730878500,1055.15,1055.15,1055.15,1055.15,6400.0,24426.8,24441.4,24424.65,24440.8
29,1730878560,1084.0,1084.0,1084.0,1084.0,6425.0,24440.7,24440.95,24434.65,24435.1
30,1730878680,1068.8,1068.8,1068.8,1068.8,,24435.35,24437.55,24431.9,24432.9
31,1730878740,1081.65,1081.65,1077.65,1077.65,6475.0,24432.3,24437.15,24431.7,24434.7
32,1730878800,1077.1,1077.1,1077.1,1077.1,6500.0,24434.45,24455.35,24434.35,24454.25
33,1730878860,1077.1,1077.1,1077.1,1077.1,6525.0,24453.0,24461.25,24452.35,24461.15
34,1730878920,1101.05,1101.05,1096.35,1096.35,,24460.2,24463.4,24458.25,24463.35
35,1730878980,1093.55,1102.1,1093.55,1102.1,6650.0,24462.45,24466.9,24459.3,24462.75
36,1730879040,1102.1,1102.1,1102.1,1102.1,6700.0,24460.85,24464.6,24454.2,24457.25
37,1730879280,1075.1,1075.1,1075.1,1075.1,,24451.9,24452.4,24442.75,24444.1
38,1730879340,1075.1,1075.1,1075.1,1075.1,6725.0,24442.8,24450.15,24442.45,24448.95
39,1730879460,1076.6,1076.6,1076.6,1076.6,6750.0,24446.4,24447.05,24441.65,24442.95
40,1730879520,1066.4,1066.4,1066.4,1066.4,6850.0,24442.4,24443.95,24437.25,24438.7
41,1730880420,1087.85,1087.85,1087.8,1087.8,6950.0,24467.05,24468.95,24462.75,24466.95
42,1730881080,1109.6,1109.6,1104.5,1104.5,7000.0,24473.8,24474.65,24468.3,24469.8
43,1730881140,1104.5,1104.5,1104.5,1104.5,7025.0,24469.95,24469.95,24466.15,24467.0
44,1730881320,1101.35,1101.35,1101.35,1101.35,7050.0,24472.3,24479.95,24470.1,24479.35
45,1730882520,1109.75,1109.75,1109.75,1109.75,,24488.4,24489.65,24486.1,24487.95
46,1730882580,1109.75,1109.75,1109.75,1109.75,7150.0,24488.05,24489.15,24485.75,24486.3
47,1730882760,1113.15,1113.15,1113.15,1113.15,7175.0,24486.05,24493.85,24484.7,24491.3
48,1730883000,1128.05,1128.05,1128.05,1128.05,7200.0,24506.25,24510.5,24505.95,24508.4
49,1730883480,1149.5,1149.5,1149.5,1149.5,7325.0,24523.9,24527.25,24523.4,24524.75
50,1730883600,1147.0,1147.0,1147.0,1147.0,7350.0,24521.15,24525.15,24520.15,24520.15
51,1730887080,1096.45,1096.45,1096.45,1096.45,,24491.25,24499.0,24491.25,24496.0
52,1730887140,1096.45,1096.45,1096.45,1096.45,7450.0,24497.2,24500.25,24487.25,24493.9
53,1730952540,970.0,970.0,970.0,970.0,,24347.3,24354.25,24339.1,24341.2
54,1730952660,970.0,970.0,970.0,970.0,25.0,24343.75,24354.8,24339.95,24351.75
55,1730953260,971.95,975.6,971.95,975.6,75.0,24357.1,24357.1,24347.3,24348.3
56,1730953440,958.85,962.1,958.85,962.1,100.0,24341.6,24342.9,24339.2,24339.4
57,1730953500,962.1,962.1,962.1,962.1,125.0,24338.3,24340.7,24328.65,24339.45
58,1730953740,927.3,927.3,927.3,927.3,,24293.8,24298.85,24278.25,24279.8
59,1730953800,927.3,927.3,927.3,927.3,150.0,24279.85,24280.25,24255.1,24258.35
60,1730953860,890.9,890.9,879.95,884.8,275.0,24254.95,24255.5,24233.55,24236.75
61,1730953980,884.8,884.8,884.8,884.8,300.0,24232.4,24242.5,24221.75,24222.8
62,1730954220,868.0,868.0,868.0,868.0,,24221.75,24229.0,24220.2,24227.75
63,1730954280,868.0,868.0,868.0,868.0,325.0,24228.4,24237.0,24221.5,24234.85
64,1730955060,865.5,865.5,865.5,865.5,350.0,24232.2,24234.15,24226.45,24233.5
65,1730958420,849.25,849.25,849.25,849.25,,24229.3,24229.3,24220.25,24220.8
66,1730958480,849.25,849.25,849.25,849.25,375.0,24220.5,24225.05,24208.9,24208.9
67,1730958720,830.95,830.95,830.95,830.95,400.0,24195.55,24204.35,24194.4,24198.6
68,1730959080,843.05,843.05,843.05,843.05,425.0,24214.65,24220.3,24213.6,24219.9
69,1730966700,839.45,839.45,839.45,839.45,450.0,24194.8,24201.3,24194.15,24199.45
70,1730967900,854.1,854.1,854.1,854.1,,24209.85,24211.05,24205.6,24205.6
71,1730967960,854.1,854.1,854.1,854.1,475.0,24206.75,24211.05,24205.85,24210.25
72,1730971860,845.3,845.3,845.3,845.3,500.0,24196.15,24199.15,24194.25,24194.25
73,1730972040,842.25,842.25,842.25,842.25,,24189.9,24198.1,24188.7,24198.1
74,1730972100,842.25,842.25,842.25,842.25,525.0,24198.5,24203.7,24198.5,24199.75
75,1730972520,838.2,838.2,838.2,838.2,,24199.35,24201.0,24197.7,24198.1
76,1730972580,838.2,838.2,838.2,838.2,575.0,24198.2,24198.7,24193.95,24196.8
77,1730972700,835.9,835.9,835.9,835.9,,24198.55,24200.6,24196.1,24197.25
78,1730972760,835.75,835.75,835.75,835.75,675.0,24197.6,24200.75,24196.3,24198.7
79,1730972820,838.85,838.85,838.85,838.85,,24198.1,24201.65,24196.35,24199.7
80,1730972880,838.85,838.85,838.85,838.85,775.0,24200.5,24201.7,24195.85,24200.6
81,1730973000,839.0,839.0,839.0,839.0,,24204.25,24205.7,24200.3,24202.6
82,1730973060,837.85,837.85,837.85,837.85,875.0,24202.0,24202.9,24197.55,24198.4
83,1730973120,833.1,833.1,833.1,833.1,,24198.1,24200.85,24194.25,24200.2
84,1730973180,833.1,833.1,833.1,833.1,925.0,24200.05,24202.9,24199.95,24202.3
85,1730973240,839.5,839.5,839.5,839.5,950.0,24202.75,24205.1,24200.1,24203.9
86,1731038760,808.7,808.7,808.7,808.7,,24171.1,24172.15,24147.85,24155.85
87,1731038820,791.8,791.8,791.8,791.8,,24155.3,24161.4,24141.2,24155.35
88,1731038880,791.8,791.8,791.8,791.8,75.0,24153.55,24163.0,24146.4,24161.1
89,1731038940,808.7,808.7,808.7,808.7,125.0,24160.95,24171.5,24151.85,24153.25
90,1731039240,821.8,821.8,821.8,821.8,,24185.9,24187.8,24174.55,24183.55
91,1731039300,836.55,872.45,836.55,872.45,200.0,24183.3,24253.5,24183.3,24252.25
92,1731039420,872.45,872.45,872.45,872.45,225.0,24262.3,24275.2,24253.7,24263.1
93,1731039480,894.0,894.0,894.0,894.0,250.0,24263.45,24264.5,24248.7,24248.7
94,1731039540,885.05,885.05,885.05,885.05,,24247.05,24251.0,24239.9,24247.4
95,1731039660,885.05,885.05,885.05,885.05,275.0,24229.95,24230.5,24206.1,24213.45
96,1731039780,804.05,804.05,804.05,804.05,300.0,24198.55,24199.35,24146.35,24172.15
97,1731040500,808.0,808.0,808.0,808.0,325.0,24168.9,24172.8,24166.7,24167.9
98,1731040740,835.05,835.05,835.05,835.05,,24188.85,24197.95,24188.4,24197.5
99,1731040800,825.4,825.4,825.4,825.4,375.0,24197.4,24200.05,24185.4,24185.7
100,1731040860,823.1,823.1,823.1,823.1,425.0,24185.25,24189.6,24182.4,24185.45
101,1731040920,823.1,823.1,823.1,823.1,450.0,24186.1,24194.6,24186.1,24192.6
102,1731041400,872.45,872.45,872.45,872.45,750.0,24202.65,24212.45,24201.9,24212.45
103,1731041460,847.25,847.25,847.25,847.25,,24212.0,24215.7,24209.5,24210.75
104,1731041520,847.25,847.25,847.25,847.25,775.0,24210.15,24211.3,24204.55,24206.45
105,1731041940,819.2,819.2,819.2,819.2,,24186.85,24189.0,24182.55,24185.35
106,1731042000,819.2,819.2,819.2,819.2,800.0,24184.6,24194.2,24184.5,24192.4
