DT,LO,LH,LL,LC,LV,MO,MH,ML,MC
2024-11-07 09:16:00+05:30,67.45,67.45,67.45,67.45,,24442.2,24445.6,24424.4,24440.9
2024-11-07 09:17:00+05:30,67.8,71.8,67.8,71.8,250.0,24439.4,24439.5,24422.7,24435.95
2024-11-07 09:18:00+05:30,70.15,70.15,67.45,67.45,575.0,24438.45,24454.4,24436.75,24448.95
2024-11-07 09:19:00+05:30,68.35,69.2,68.35,69.2,,24446.6,24454.65,24439.0,24454.55
2024-11-07 09:20:00+05:30,66.55,66.9,66.55,66.9,1500.0,24454.3,24455.9,24440.15,24441.75
2024-11-07 09:21:00+05:30,65.8,65.8,65.8,65.8,2300.0,24441.2,24441.75,24420.65,24424.75
2024-11-07 09:22:00+05:30,65.95,67.05,65.95,67.05,,24424.05,24437.3,24423.4,24429.2
2024-11-07 09:23:00+05:30,66.55,69.6,66.55,69.6,4200.0,24429.35,24432.95,24406.2,24408.05
2024-11-07 09:24:00+05:30,69.6,69.6,69.6,69.6,4700.0,24407.6,24410.1,24395.6,24397.1
2024-11-07 09:25:00+05:30,73.05,73.75,73.05,73.75,,24393.05,24393.05,24373.75,24380.15
2024-11-07 09:26:00+05:30,74.65,75.85,74.65,75.85,4925.0,24374.25,24377.15,24362.25,24370.55
2024-11-07 09:27:00+05:30,77.0,78.0,76.9,78.0,5875.0,24367.3,24373.4,24354.45,24356.15
2024-11-07 09:28:00+05:30,79.05,79.05,79.0,79.0,,24356.5,24361.45,24345.15,24346.3
2024-11-07 09:29:00+05:30,77.35,77.35,77.35,77.35,6100.0,24344.25,24364.15,24344.25,24353.7
2024-11-07 09:30:00+05:30,77.35,77.35,77.35,77.35,6150.0,24353.8,24359.2,24347.85,24351.1
2024-11-07 09:33:00+05:30,78.5,78.5,78.5,78.5,,24351.85,24357.3,24342.5,24351.05
2024-11-07 09:34:00+05:30,75.5,77.05,75.5,76.3,6500.0,24351.7,24364.1,24351.7,24361.2
2024-11-07 09:35:00+05:30,76.75,76.75,76.5,76.5,6875.0,24361.3,24367.25,24350.9,24358.2
2024-11-07 09:36:00+05:30,75.95,76.35,75.95,76.35,,24357.1,24362.95,24342.95,24342.95
2024-11-07 09:37:00+05:30,76.35,76.35,76.35,76.35,6975.0,24343.35,24365.75,24338.35,24348.45
2024-11-07 09:38:00+05:30,77.35,77.35,77.35,77.35,7025.0,24349.25,24352.15,24342.15,24347.05
2024-11-07 09:40:00+05:30,79.2,80.35,78.8,78.8,,24341.7,24344.0,24326.7,24343.4
2024-11-07 09:41:00+05:30,78.8,78.8,78.8,78.8,7225.0,24343.75,24354.8,24339.95,24351.75
2024-11-07 09:43:00+05:30,74.3,74.3,74.3,74.3,,24353.2,24365.7,24352.8,24356.0
2024-11-07 09:44:00+05:30,73.45,73.45,73.45,73.45,7250.0,24356.5,24369.75,24354.65,24363.15
2024-11-07 09:45:00+05:30,74.0,74.4,74.0,74.25,7350.0,24363.3,24365.75,24353.25,24355.25
2024-11-07 09:46:00+05:30,75.25,75.25,74.55,74.55,9925.0,24354.25,24358.95,24350.45,24357.45
2024-11-07 09:47:00+05:30,71.1,71.1,69.4,70.7,10125.0,24357.6,24382.45,24350.4,24374.3
2024-11-07 09:49:00+05:30,70.7,70.7,70.7,70.7,10375.0,24355.6,24370.1,24354.8,24366.95
2024-11-07 09:50:00+05:30,73.5,74.0,73.5,74.0,,24366.3,24366.3,24351.45,24357.0
2024-11-07 09:51:00+05:30,73.9,73.9,73.9,73.9,11100.0,24357.1,24357.1,24347.3,24348.3
2024-11-07 09:52:00+05:30,74.95,76.9,74.95,76.4,,24348.2,24348.2,24335.35,24341.65
2024-11-07 09:53:00+05:30,75.75,77.2,75.75,77.2,12200.0,24340.6,24344.15,24333.4,24341.85
2024-11-07 09:54:00+05:30,76.95,76.95,76.7,76.7,12375.0,24341.6,24342.9,24339.2,24339.4
2024-11-07 09:55:00+05:30,76.0,76.0,76.0,76.0,12400.0,24338.3,24340.7,24328.65,24339.45
2024-11-07 09:56:00+05:30,77.2,77.2,77.2,77.2,,24339.65,24342.4,24330.45,24335.55
2024-11-07 09:57:00+05:30,76.2,76.2,76.2,76.2,12425.0,24335.15,24340.55,24314.45,24318.95
2024-11-07 09:58:00+05:30,79.75,82.55,79.75,82.55,12625.0,24319.75,24324.05,24293.4,24293.9
2024-11-07 09:59:00+05:30,81.8,86.45,81.8,86.45,,24293.8,24298.85,24278.25,24279.8
2024-11-07 10:00:00+05:30,90.2,90.9,90.05,90.9,13050.0,24279.85,24280.25,24255.1,24258.35
2024-11-07 10:01:00+05:30,91.3,94.7,90.95,94.7,13875.0,24254.95,24255.5,24233.55,24236.75
2024-11-07 10:02:00+05:30,97.5,98.35,97.5,97.75,,24237.15,24240.25,24217.25,24230.55
2024-11-07 10:03:00+05:30,97.75,97.75,97.75,97.75,14150.0,24232.4,24242.5,24221.75,24222.8
2024-11-07 10:04:00+05:30,97.0,97.75,97.0,97.4,14250.0,24223.75,24225.85,24213.65,24220.95
2024-11-07 10:05:00+05:30,99.0,99.0,99.0,99.0,14325.0,24221.6,24222.65,24205.0,24219.45
2024-11-07 10:06:00+05:30,94.85,94.85,94.85,94.85,,24219.1,24228.9,24216.45,24222.25
2024-11-07 10:07:00+05:30,95.25,96.0,95.25,96.0,14450.0,24221.75,24229.0,24220.2,24227.75
2024-11-07 10:08:00+05:30,96.1,96.4,96.1,96.4,14575.0,24228.4,24237.0,24221.5,24234.85
2024-11-07 10:09:00+05:30,94.75,96.2,94.4,96.2,,24236.25,24236.7,24221.45,24223.7
2024-11-07 10:10:00+05:30,95.25,95.65,94.25,94.25,14750.0,24222.6,24224.65,24215.85,24222.5
2024-11-07 10:11:00+05:30,94.75,97.0,94.75,97.0,15050.0,24222.1,24229.75,24202.6,24208.5
2024-11-07 10:12:00+05:30,97.0,97.0,97.0,97.0,15100.0,24209.05,24220.45,24208.15,24213.2
2024-11-07 10:14:00+05:30,96.0,96.0,95.0,95.0,,24216.65,24221.75,24204.15,24221.75
2024-11-07 10:15:00+05:30,93.35,93.45,93.2,93.45,15275.0,24222.45,24224.95,24215.4,24224.95
2024-11-07 10:16:00+05:30,93.45,93.45,93.45,93.45,15925.0,24225.3,24227.35,24217.4,24218.1
2024-11-07 10:18:00+05:30,91.95,91.95,89.9,89.9,,24232.05,24236.25,24224.95,24235.6
2024-11-07 10:19:00+05:30,91.15,91.15,91.15,91.15,16175.0,24235.2,24236.15,24217.3,24218.9
2024-11-07 10:20:00+05:30,90.4,90.4,90.4,90.4,16250.0,24218.4,24233.8,24218.15,24232.3
2024-11-07 10:21:00+05:30,90.0,90.0,88.45,88.45,16350.0,24232.2,24234.15,24226.45,24233.5
2024-11-07 10:22:00+05:30,88.4,88.4,88.4,88.4,,24234.0,24234.8,24226.45,24234.2
2024-11-07 10:23:00+05:30,88.4,88.4,88.4,88.4,16400.0,24234.45,24236.65,24229.45,24236.35
2024-11-07 10:24:00+05:30,88.9,88.9,88.9,88.9,,24235.8,24236.05,24229.1,24230.1
2024-11-07 10:25:00+05:30,88.0,88.0,87.45,87.45,17575.0,24229.8,24237.1,24222.55,24222.55
2024-11-07 10:26:00+05:30,92.3,92.3,92.3,92.3,17650.0,24222.7,24222.7,24212.9,24214.05
2024-11-07 10:27:00+05:30,95.0,97.45,95.0,97.45,,24213.55,24213.55,24188.9,24196.1
2024-11-07 10:28:00+05:30,97.05,97.2,97.05,97.2,18750.0,24196.2,24197.65,24193.05,24194.95
2024-11-07 10:29:00+05:30,97.2,97.2,97.2,97.2,22825.0,24195.2,24197.65,24194.1,24195.15
2024-11-07 10:30:00+05:30,95.5,99.75,95.5,99.75,,24194.55,24195.2,24182.1,24185.05
2024-11-07 10:31:00+05:30,98.1,98.1,98.1,98.1,23875.0,24184.95,24190.85,24184.95,24190.8
2024-11-07 10:32:00+05:30,98.1,98.1,98.1,98.1,24075.0,24189.75,24197.15,24188.85,24194.35
2024-11-07 10:33:00+05:30,96.05,97.15,96.05,97.15,24150.0,24194.2,24196.65,24185.7,24187.25
2024-11-07 10:34:00+05:30,97.35,97.35,97.35,97.35,,24185.95,24190.0,24184.3,24187.15
