DT,LO,LH,LL,LC,LV,MO,MH,ML,MC
2024-11-11 13:35:00+05:30,92.7,92.7,92.7,92.7,,24207.4,24209.15,24202.85,24202.85
2024-11-11 13:36:00+05:30,92.7,92.7,92.7,92.7,25.0,24203.6,24203.85,24199.65,24202.15
2024-11-11 13:44:00+05:30,113.5,113.5,113.5,113.5,,24156.65,24156.65,24138.6,24145.45
2024-11-11 13:45:00+05:30,113.5,113.5,113.5,113.5,50.0,24145.7,24149.6,24141.55,24144.6
2024-11-11 14:17:00+05:30,120.0,120.0,120.0,120.0,,24091.9,24092.65,24086.3,24086.4
2024-11-11 14:18:00+05:30,120.0,120.0,120.0,120.0,100.0,24086.5,24089.75,24081.75,24087.1
2024-11-11 14:23:00+05:30,119.0,119.0,118.0,118.0,150.0,24101.2,24109.55,24098.65,24101.95
2024-11-11 14:58:00+05:30,104.15,104.15,104.15,104.15,200.0,24176.7,24177.15,24165.7,24166.75
2024-11-11 15:15:00+05:30,100.8,101.15,100.8,101.15,400.0,24160.95,24162.8,24153.55,24156.6
2024-11-11 15:16:00+05:30,106.2,106.2,105.65,105.65,625.0,24157.2,24157.4,24142.6,24145.25
2024-11-11 15:26:00+05:30,108.35,108.35,108.35,108.35,,24129.5,24131.05,24126.2,24128.45
2024-11-11 15:27:00+05:30,108.35,108.35,108.35,108.35,650.0,24128.3,24132.3,24125.1,24131.25
2024-11-11 15:28:00+05:30,108.0,108.0,108.0,108.0,,24131.9,24133.05,24121.9,24126.15
2024-11-11 15:29:00+05:30,108.0,108.0,108.0,108.0,700.0,24127.55,24131.0,24118.0,24122.1
2024-11-12 09:44:00+05:30,110.0,110.0,110.0,110.0,50.0,24163.45,24163.7,24150.65,24153.9
2024-11-12 09:59:00+05:30,90.0,90.0,90.0,90.0,,24203.55,24233.2,24203.55,24229.05
2024-11-12 10:00:00+05:30,90.0,90.0,90.0,90.0,350.0,24229.1,24233.9,24195.15,24206.8
2024-11-12 10:01:00+05:30,87.75,87.75,87.75,87.75,450.0,24205.4,24205.4,24191.05,24193.8
2024-11-12 15:16:00+05:30,168.25,168.25,168.25,168.25,475.0,23877.2,23879.25,23867.5,23869.1
2024-11-12 15:17:00+05:30,163.4,163.4,163.4,163.4,500.0,23869.3,23869.6,23861.1,23861.7
2024-11-12 15:19:00+05:30,163.4,163.4,163.4,163.4,775.0,23862.8,23875.35,23862.45,23872.25
2024-11-12 15:21:00+05:30,161.45,161.45,161.45,161.45,800.0,23869.15,23883.95,23869.05,23882.95
2024-11-12 15:23:00+05:30,161.05,161.05,161.05,161.05,,23878.5,23878.5,23869.6,23869.85
2024-11-12 15:24:00+05:30,161.05,161.05,161.05,161.05,900.0,23869.5,23870.25,23862.3,23869.35
2024-11-12 15:25:00+05:30,167.2,167.2,167.2,167.2,925.0,23869.15,23873.85,23868.4,23872.75
2024-11-12 15:26:00+05:30,170.5,172.7,170.5,172.0,,23872.45,23872.45,23862.95,23863.4
2024-11-12 15:27:00+05:30,172.0,172.0,172.0,172.0,1050.0,23863.45,23866.25,23859.7,23861.35
2024-11-12 15:28:00+05:30,176.75,177.0,176.75,177.0,1075.0,23859.0,23860.1,23847.6,23855.3
2024-11-13 09:15:00+05:30,195.0,195.0,195.0,195.0,,23822.45,23840.1,23782.2,23838.85
2024-11-13 09:16:00+05:30,195.0,195.0,195.0,195.0,500.0,23840.05,23847.55,23821.25,23830.35
2024-11-13 09:17:00+05:30,178.15,178.15,178.15,178.15,,23830.75,23851.45,23822.7,23832.55
2024-11-13 09:18:00+05:30,178.65,178.65,178.65,178.65,600.0,23830.4,23850.2,23830.1,23849.15
2024-11-13 09:23:00+05:30,177.55,177.55,177.55,177.55,675.0,23854.85,23867.65,23850.1,23864.9
2024-11-13 09:24:00+05:30,178.25,178.25,178.25,178.25,775.0,23867.35,23873.15,23856.45,23859.35
2024-11-13 09:27:00+05:30,185.0,189.4,185.0,189.4,850.0,23832.6,23845.15,23822.9,23822.9
2024-11-13 09:30:00+05:30,190.35,190.35,190.35,190.35,950.0,23801.75,23825.35,23797.3,23819.75
2024-11-13 09:31:00+05:30,187.35,187.35,187.35,187.35,975.0,23820.9,23857.5,23817.25,23853.25
2024-11-13 09:34:00+05:30,202.65,202.65,202.65,202.65,1050.0,23821.45,23828.45,23783.45,23784.25
2024-11-13 09:35:00+05:30,198.55,198.55,198.55,198.55,1075.0,23784.75,23808.5,23779.95,23799.0
