DT,LO,LH,LL,LC,LV,MO,MH,ML,MC
2024-11-06 15:09:00+05:30,964.6,964.6,964.6,964.6,,24483.6,24485.1,24476.4,24481.85
2024-11-06 15:10:00+05:30,964.6,964.6,964.6,964.6,25.0,24481.65,24482.15,24474.0,24474.65
2024-11-08 09:41:00+05:30,727.15,727.15,727.15,727.15,,24159.25,24196.95,24159.0,24179.25
2024-11-08 09:42:00+05:30,727.15,727.15,727.15,727.15,25.0,24178.55,24196.7,24178.35,24190.7
2024-11-08 09:44:00+05:30,707.35,707.35,707.35,707.35,,24185.9,24187.8,24174.55,24183.55
2024-11-08 09:45:00+05:30,707.35,707.35,707.35,707.35,50.0,24183.3,24253.5,24183.3,24252.25
2024-11-11 09:18:00+05:30,589.0,589.0,589.0,589.0,25.0,24033.8,24051.45,24032.2,24046.75
2024-11-11 09:44:00+05:30,634.6,634.6,634.6,634.6,,24128.3,24150.95,24125.75,24145.7
2024-11-11 09:45:00+05:30,634.6,634.6,634.6,634.6,125.0,24144.4,24146.95,24136.3,24146.45
2024-11-11 10:27:00+05:30,667.7,667.7,667.7,667.7,,24169.8,24198.55,24169.5,24198.55
2024-11-11 10:29:00+05:30,667.7,667.7,667.7,667.7,325.0,24212.15,24223.85,24211.05,24223.85
2024-11-11 12:12:00+05:30,690.0,690.0,690.0,690.0,350.0,24239.25,24242.25,24235.0,24238.5
2024-11-12 09:57:00+05:30,621.0,621.0,621.0,621.0,50.0,24151.25,24192.6,24149.25,24190.9
2024-11-12 13:12:00+05:30,515.0,515.0,515.0,515.0,250.0,24010.8,24010.9,24003.75,24004.25
2024-11-12 13:26:00+05:30,500.0,500.0,500.0,500.0,,23967.25,23973.2,23961.6,23965.05
2024-11-12 13:27:00+05:30,500.0,500.0,500.0,500.0,275.0,23964.65,23965.55,23958.55,23958.55
2024-11-12 13:39:00+05:30,474.8,474.8,474.8,474.8,325.0,23920.2,23927.05,23917.45,23925.5
2024-11-12 13:43:00+05:30,466.8,466.8,466.8,466.8,350.0,23922.45,23923.7,23912.7,23917.85
2024-11-12 13:54:00+05:30,474.9,474.9,474.9,474.9,450.0,23946.2,23965.2,23945.1,23965.1
2024-11-12 14:25:00+05:30,484.3,484.3,484.3,484.3,,23960.45,23964.85,23956.2,23963.15
2024-11-12 14:27:00+05:30,480.0,480.0,480.0,480.0,475.0,23958.4,23959.05,23951.65,23954.3
2024-11-12 14:28:00+05:30,480.0,480.0,480.0,480.0,525.0,23953.55,23953.55,23916.7,23916.7
2024-11-12 14:30:00+05:30,472.05,472.05,472.05,472.05,,23921.75,23947.75,23919.4,23944.3
2024-11-12 14:31:00+05:30,472.05,472.05,472.05,472.05,650.0,23945.4,23966.95,23945.4,23951.55
2024-11-12 14:41:00+05:30,482.75,482.75,482.75,482.75,675.0,23942.15,23947.9,23936.45,23942.45
2024-11-12 14:42:00+05:30,482.8,482.8,482.8,482.8,,23939.1,23943.55,23933.0,23937.35
2024-11-12 14:43:00+05:30,482.8,482.8,482.8,482.8,700.0,23940.4,23946.55,23936.55,23943.05
2024-11-12 14:47:00+05:30,481.0,481.0,481.0,481.0,750.0,23959.6,23962.25,23949.35,23950.7
2024-11-12 15:10:00+05:30,444.1,444.1,444.1,444.1,775.0,23889.6,23890.65,23872.6,23873.2
2024-11-12 15:11:00+05:30,436.6,436.6,436.6,436.6,,23873.35,23879.65,23873.15,23873.15
2024-11-12 15:12:00+05:30,426.3,426.3,426.3,426.3,800.0,23873.55,23878.45,23871.7,23874.45
2024-11-12 15:13:00+05:30,426.3,426.3,426.3,426.3,825.0,23874.9,23875.6,23866.75,23867.25
2024-11-12 15:17:00+05:30,426.3,426.3,426.3,426.3,950.0,23869.3,23869.6,23861.1,23861.7
2024-11-12 15:18:00+05:30,423.0,423.0,423.0,423.0,,23861.45,23861.95,23855.35,23861.7
2024-11-12 15:19:00+05:30,423.0,423.0,423.0,423.0,975.0,23862.8,23875.35,23862.45,23872.25
2024-11-12 15:21:00+05:30,430.0,430.0,430.0,430.0,1025.0,23869.15,23883.95,23869.05,23882.95
2024-11-12 15:26:00+05:30,420.35,420.35,420.35,420.35,,23872.45,23872.45,23862.95,23863.4
2024-11-12 15:27:00+05:30,420.35,420.35,420.35,420.35,1050.0,23863.45,23866.25,23859.7,23861.35
2024-11-12 15:28:00+05:30,411.0,411.0,411.0,411.0,,23859.0,23860.1,23847.6,23855.3
2024-11-13 09:15:00+05:30,412.5,412.5,412.5,412.5,,23822.45,23840.1,23782.2,23838.85
2024-11-13 09:16:00+05:30,409.8,409.8,409.8,409.8,50.0,23840.05,23847.55,23821.25,23830.35
2024-11-13 09:18:00+05:30,420.65,420.65,420.65,420.65,175.0,23830.4,23850.2,23830.1,23849.15
2024-11-13 09:19:00+05:30,405.95,421.95,405.95,421.95,425.0,23848.15,23861.15,23831.75,23831.75
2024-11-13 09:20:00+05:30,399.4,399.4,387.6,393.65,550.0,23831.35,23832.75,23808.75,23808.75
2024-11-13 09:21:00+05:30,398.1,400.0,395.2,400.0,625.0,23806.1,23828.05,23804.35,23826.25
2024-11-13 09:23:00+05:30,410.9,410.9,410.9,410.9,775.0,23854.85,23867.65,23850.1,23864.9
2024-11-13 09:24:00+05:30,419.6,419.6,419.6,419.6,975.0,23867.35,23873.15,23856.45,23859.35
2024-11-13 09:26:00+05:30,400.0,400.0,400.0,400.0,1050.0,23846.45,23846.45,23830.9,23831.7
2024-11-13 09:29:00+05:30,374.35,374.35,374.35,374.35,1100.0,23822.25,23825.2,23800.4,23800.4
2024-11-13 09:30:00+05:30,384.15,384.15,384.15,384.15,,23801.75,23825.35,23797.3,23819.75
2024-11-13 09:31:00+05:30,400.0,410.0,400.0,410.0,1150.0,23820.9,23857.5,23817.25,23853.25
2024-11-13 09:32:00+05:30,410.0,410.0,410.0,410.0,1425.0,23852.2,23852.2,23826.1,23836.75
2024-11-13 09:34:00+05:30,389.0,389.0,389.0,389.0,1450.0,23821.45,23828.45,23783.45,23784.25
2024-11-13 09:35:00+05:30,380.0,380.0,380.0,380.0,1500.0,23784.75,23808.5,23779.95,23799.0
2024-11-13 09:36:00+05:30,378.0,378.0,378.0,378.0,,23799.1,23808.2,23785.9,23792.1
2024-11-13 09:37:00+05:30,380.0,380.0,380.0,380.0,1525.0,23790.7,23803.9,23788.6,23791.5
2024-11-13 09:38:00+05:30,387.1,387.1,387.1,387.1,1550.0,23792.45,23803.6,23791.6,23797.75
2024-11-13 09:39:00+05:30,387.0,387.0,387.0,387.0,1625.0,23797.85,23798.5,23782.65,23784.25
2024-11-13 09:40:00+05:30,382.9,383.1,382.9,383.1,1675.0,23783.9,23790.35,23781.1,23783.7
2024-11-13 09:41:00+05:30,375.9,375.9,375.9,375.9,1700.0,23782.4,23793.8,23778.75,23786.95
2024-11-13 09:42:00+05:30,385.15,385.15,385.15,385.15,,23787.3,23790.7,23777.0,23780.0
2024-11-13 09:43:00+05:30,385.15,385.15,385.15,385.15,1750.0,23777.6,23781.15,23765.2,23766.1
2024-11-13 09:45:00+05:30,358.9,360.0,354.5,354.65,1850.0,23755.95,23761.55,23745.2,23751.95
2024-11-13 09:47:00+05:30,353.0,353.0,353.0,353.0,,23752.65,23752.65,23714.5,23718.15
2024-11-13 09:48:00+05:30,348.2,350.0,348.2,350.0,1925.0,23719.2,23735.25,23709.6,23735.1
2024-11-13 09:49:00+05:30,341.0,341.0,340.0,340.0,,23735.25,23735.25,23709.8,23722.65
2024-11-13 09:50:00+05:30,349.6,349.6,349.6,349.6,2025.0,23722.1,23745.05,23720.05,23744.3
2024-11-13 09:51:00+05:30,355.25,356.0,355.25,356.0,2050.0,23745.75,23773.1,23738.7,23773.1
2024-11-13 09:52:00+05:30,373.8,373.8,373.8,373.8,2150.0,23773.2,23807.05,23773.2,23781.55
2024-11-13 09:55:00+05:30,361.1,361.1,361.1,361.1,2175.0,23772.2,23786.35,23768.3,23768.3
2024-11-13 09:56:00+05:30,365.0,365.0,361.1,361.1,2225.0,23769.55,23773.75,23764.45,23766.45
2024-11-13 09:57:00+05:30,361.1,361.1,361.1,361.1,2275.0,23767.05,23778.2,23760.8,23772.0
2024-11-13 09:58:00+05:30,360.0,360.0,360.0,360.0,,23772.7,23772.7,23757.0,23757.35
2024-11-13 09:59:00+05:30,360.0,360.0,360.0,360.0,2325.0,23759.5,23793.9,23759.5,23793.9
2024-11-13 10:00:00+05:30,378.7,378.7,378.7,378.7,2350.0,23792.55,23795.35,23779.4,23784.9
2024-11-13 10:01:00+05:30,378.0,378.0,378.0,378.0,2375.0,23784.1,23793.9,23769.3,23770.7
2024-11-13 10:04:00+05:30,369.1,369.1,369.1,369.1,,23765.45,23766.3,23742.0,23742.0
2024-11-13 10:05:00+05:30,369.1,369.1,369.1,369.1,2400.0,23741.2,23749.6,23726.8,23727.1
2024-11-13 10:08:00+05:30,340.0,340.0,340.0,340.0,,23712.6,23720.2,23712.05,23715.1
2024-11-13 10:09:00+05:30,340.0,340.0,340.0,340.0,2425.0,23715.65,23721.05,23709.45,23718.2
2024-11-13 10:13:00+05:30,345.0,345.0,345.0,345.0,2450.0,23722.2,23722.9,23697.1,23697.7
2024-11-13 10:14:00+05:30,333.0,333.0,333.0,333.0,2475.0,23697.75,23699.8,23690.35,23694.55
2024-11-13 10:17:00+05:30,332.8,332.8,332.8,332.8,2500.0,23682.5,23704.75,23681.9,23704.75
2024-11-13 10:18:00+05:30,338.05,338.05,338.05,338.05,,23705.75,23714.5,23701.95,23714.0
2024-11-13 10:19:00+05:30,344.85,344.85,344.85,344.85,2600.0,23712.2,23714.9,23704.25,23708.85
2024-11-13 10:20:00+05:30,335.8,335.8,335.0,335.0,2700.0,23708.15,23709.6,23688.8,23696.95
2024-11-13 10:22:00+05:30,330.0,330.0,330.0,330.0,2725.0,23693.55,23697.9,23682.0,23684.55
2024-11-13 10:24:00+05:30,334.95,334.95,334.95,334.95,2750.0,23688.65,23706.1,23688.65,23705.3
2024-11-13 10:26:00+05:30,350.85,350.85,350.85,350.85,2900.0,23741.05,23741.6,23721.3,23721.3
2024-11-13 10:27:00+05:30,349.25,349.25,349.25,349.25,,23721.5,23736.15,23717.65,23731.4
2024-11-13 10:28:00+05:30,349.25,349.25,349.25,349.25,2925.0,23731.35,23733.1,23728.25,23731.3
2024-11-13 10:29:00+05:30,343.8,343.8,343.8,343.8,2950.0,23731.65,23733.1,23726.0,23729.0
2024-11-13 10:30:00+05:30,345.5,345.5,345.5,345.5,2975.0,23728.85,23740.65,23728.8,23739.05
2024-11-13 10:32:00+05:30,340.55,340.55,340.55,340.55,3000.0,23716.45,23722.4,23711.2,23722.1
