,DT,LO,LH,LL,LC,LV,MO,MH,ML,MC
0,1730864700,128.75,128.75,128.75,128.75,0.0,24308.75,24311.05,24257.95,24289.45
1,1730864760,118.55,126.1,117.55,117.55,,24289.7,24289.9,24253.0,24266.25
2,1730864820,117.05,125.2,117.05,125.2,350.0,24264.3,24267.7,24234.9,24242.05
3,1730864880,125.85,126.25,118.25,118.25,3900.0,24240.75,24260.8,24234.25,24256.7
4,1730864940,118.0,118.7,116.05,117.55,,24254.85,24272.6,24250.5,24262.9
5,1730865000,114.8,122.1,114.8,120.85,8975.0,24263.6,24263.6,24229.05,24234.35
6,1730865060,120.85,120.85,120.85,120.85,9225.0,24232.8,24239.35,24223.55,24233.7
7,1730865120,124.6,135.3,124.6,129.65,11000.0,24233.6,24234.75,24204.5,24206.35
8,1730865180,128.45,130.0,124.45,124.45,11550.0,24207.25,24233.05,24206.6,24229.2
9,1730865240,121.05,121.05,116.5,116.5,11725.0,24229.05,24267.3,24229.05,24265.25
10,1730865300,115.9,115.9,107.8,107.8,12450.0,24264.2,24284.3,24253.7,24283.2
11,1730865360,108.0,110.0,108.0,108.7,12950.0,24281.75,24293.35,24276.65,24290.6
12,1730865420,105.0,105.0,102.45,102.45,13275.0,24292.6,24299.55,24290.4,24298.9
13,1730865480,103.65,103.65,103.65,103.65,13325.0,24297.9,24312.35,24297.9,24311.45
14,1730865540,100.0,100.0,90.0,90.0,14150.0,24309.9,24343.85,24309.3,24343.85
15,1730865600,90.05,92.0,89.0,89.0,,24344.85,24349.3,24336.9,24338.55
16,1730865660,90.35,93.75,90.35,92.35,14675.0,24337.75,24343.3,24332.55,24338.55
17,1730865720,95.05,95.9,94.6,94.6,14925.0,24338.45,24338.45,24324.8,24331.65
18,1730865780,97.4,97.4,97.4,97.4,14975.0,24331.05,24332.7,24318.75,24319.05
19,1730865840,99.4,100.35,98.35,98.35,,24320.2,24326.9,24319.05,24326.4
20,1730865900,99.0,101.25,99.0,101.25,15300.0,24327.3,24332.6,24308.75,24311.1
21,1730865960,105.0,109.15,104.5,109.15,18500.0,24311.55,24314.35,24295.15,24304.8
22,1730866020,107.3,107.3,105.2,105.2,19200.0,24304.2,24319.4,24301.7,24316.65
23,1730866080,105.25,105.25,100.95,100.95,,24316.6,24327.4,24315.45,24325.2
24,1730866140,98.0,98.0,98.0,98.0,19700.0,24325.7,24342.8,24325.65,24336.75
25,1730866200,98.7,98.7,98.7,98.7,19725.0,24336.6,24352.5,24336.6,24340.65
26,1730866260,98.7,98.7,98.7,98.7,19750.0,24338.45,24340.3,24323.1,24328.1
27,1730866320,100.35,100.35,100.35,100.35,,24329.1,24332.9,24321.7,24328.45
28,1730866380,100.95,101.15,100.9,101.15,19950.0,24328.75,24329.75,24323.8,24326.25
29,1730866440,98.7,98.7,98.05,98.05,20125.0,24324.1,24347.3,24324.1,24346.4
