,DT,LO,LH,LL,LC,LV,MO,MH,ML,MC
0,1731301080,642.35,642.35,642.35,642.35,,24199.45,24211.15,24199.45,24211.15
1,1731301140,642.35,642.35,642.35,642.35,25.0,24212.15,24223.85,24211.05,24223.85
2,1731315000,542.0,542.0,542.0,542.0,100.0,24092.75,24096.3,24080.6,24095.4
3,1731316740,572.75,572.75,572.75,572.75,175.0,24176.7,24181.95,24172.45,24178.85
4,1731388620,570.0,570.0,570.0,570.0,,24121.75,24129.9,24114.0,24129.7
5,1731388680,570.0,570.0,570.0,570.0,175.0,24128.55,24132.6,24122.95,24131.8
6,1731389220,580.0,580.0,580.0,580.0,,24153.05,24154.55,24145.4,24149.3
7,1731389280,575.0,575.0,575.0,575.0,200.0,24150.55,24150.55,24141.4,24145.0
8,1731389340,575.0,575.0,575.0,575.0,375.0,24145.05,24148.55,24140.75,24141.35
9,1731393840,575.0,575.0,575.0,575.0,400.0,24104.2,24111.4,24103.6,24110.9
10,1731397320,524.9,524.9,524.9,524.9,,24010.8,24010.9,24003.75,24004.25
11,1731397380,524.9,524.9,524.9,524.9,425.0,24004.2,24005.0,23990.55,23993.45
12,1731403260,446.0,446.0,446.0,446.0,450.0,23961.35,23961.35,23949.5,23951.1
13,1731404340,408.7,408.7,408.7,408.7,,23881.7,23890.3,23881.1,23889.05
14,1731404400,408.7,408.7,408.7,408.7,525.0,23889.6,23890.65,23872.6,23873.2
15,1731405120,408.8,408.8,408.8,408.8,,23882.85,23883.3,23877.8,23878.35
16,1731405180,397.35,397.35,397.35,397.35,550.0,23878.5,23878.5,23869.6,23869.85
17,1731405240,397.35,397.35,397.35,397.35,575.0,23869.5,23870.25,23862.3,23869.35
18,1731405420,392.3,392.3,392.3,392.3,,23863.45,23866.25,23859.7,23861.35
19,1731405480,391.1,391.1,391.0,391.0,675.0,23859.0,23860.1,23847.6,23855.3
20,1731469620,382.65,385.7,377.0,385.7,100.0,23830.75,23851.45,23822.7,23832.55
21,1731469920,368.5,375.6,368.5,375.6,150.0,23826.7,23860.05,23825.7,23857.3
22,1731470040,385.25,385.25,385.25,385.25,175.0,23867.35,23873.15,23856.45,23859.35
