DT,LO,LH,LL,LC,LV,MO,MH,ML,MC
2024-11-08 11:39:00+05:30,287.0,287.0,287.0,287.0,25.0,24140.15,24144.25,24140.15,24142.0
2024-11-08 11:56:00+05:30,282.6,282.6,282.6,282.6,,24115.15,24119.2,24112.3,24115.35
2024-11-08 11:57:00+05:30,282.6,282.6,282.6,282.6,50.0,24116.0,24118.25,24113.0,24114.25
2024-11-08 12:01:00+05:30,292.5,292.5,292.5,292.5,,24114.45,24114.9,24108.4,24111.5
2024-11-08 12:02:00+05:30,292.5,292.5,292.5,292.5,75.0,24110.75,24116.95,24105.75,24114.85
2024-11-08 12:26:00+05:30,276.55,276.55,276.55,276.55,,24121.15,24127.55,24118.45,24126.45
2024-11-08 12:27:00+05:30,292.3,292.3,284.15,287.65,100.0,24126.25,24128.1,24122.05,24127.15
2024-11-08 12:28:00+05:30,287.65,287.65,287.65,287.65,175.0,24126.65,24128.05,24121.1,24127.9
2024-11-08 12:31:00+05:30,285.05,285.05,285.05,285.05,200.0,24125.65,24130.9,24122.8,24127.9
2024-11-08 13:21:00+05:30,261.95,261.95,261.95,261.95,,24161.25,24173.65,24160.95,24173.15
2024-11-08 13:22:00+05:30,261.95,261.95,261.95,261.95,575.0,24172.9,24177.1,24170.7,24173.95
2024-11-08 13:32:00+05:30,264.9,264.9,264.9,264.9,,24174.8,24180.05,24172.95,24180.05
2024-11-08 13:33:00+05:30,264.95,269.0,264.95,269.0,,24180.1,24180.1,24170.3,24171.95
2024-11-08 13:34:00+05:30,269.0,269.0,269.0,269.0,700.0,24172.1,24172.3,24163.45,24167.9
2024-11-08 14:27:00+05:30,275.9,275.9,275.9,275.9,,24135.55,24143.0,24134.65,24142.25
2024-11-08 14:28:00+05:30,275.9,275.9,275.9,275.9,1200.0,24141.8,24143.9,24137.0,24141.65
2024-11-08 14:42:00+05:30,274.75,274.75,274.75,274.75,1700.0,24150.5,24170.45,24147.75,24170.1
2024-11-08 14:43:00+05:30,266.2,266.2,266.2,266.2,,24170.25,24172.3,24165.6,24168.5
2024-11-08 14:44:00+05:30,266.2,266.2,266.2,266.2,2200.0,24168.1,24170.4,24165.85,24169.45
2024-11-08 14:53:00+05:30,270.5,270.5,270.5,270.5,,24166.6,24167.65,24158.85,24164.6
2024-11-08 14:54:00+05:30,270.5,270.5,270.5,270.5,2250.0,24164.45,24165.2,24155.0,24158.4
2024-11-11 09:34:00+05:30,266.0,266.0,266.0,266.0,50.0,24140.5,24145.5,24135.85,24143.95
2024-11-11 09:36:00+05:30,266.0,266.0,266.0,266.0,100.0,24145.35,24157.3,24137.35,24154.95
2024-11-11 10:27:00+05:30,250.0,250.0,250.0,250.0,,24169.8,24198.55,24169.5,24198.55
2024-11-11 10:28:00+05:30,240.0,240.0,240.0,240.0,150.0,24199.45,24211.15,24199.45,24211.15
2024-11-11 10:32:00+05:30,226.75,226.75,226.75,226.75,,24231.6,24238.05,24223.4,24225.25
2024-11-11 10:33:00+05:30,226.75,226.75,226.75,226.75,300.0,24224.85,24225.8,24218.85,24222.45
2024-11-11 11:43:00+05:30,205.0,205.0,205.0,205.0,,24316.35,24332.6,24316.1,24331.75
2024-11-11 11:44:00+05:30,205.0,205.0,205.0,205.0,350.0,24330.75,24336.55,24330.45,24331.7
2024-11-11 11:59:00+05:30,210.5,210.5,210.5,210.5,375.0,24291.05,24292.0,24285.7,24287.95
2024-11-11 12:00:00+05:30,210.5,210.5,210.5,210.5,400.0,24288.0,24291.9,24286.35,24290.9
2024-11-11 12:02:00+05:30,210.45,212.2,210.45,212.2,,24292.05,24292.05,24271.45,24271.9
2024-11-11 12:03:00+05:30,212.2,212.2,212.2,212.2,475.0,24272.1,24274.4,24265.15,24273.15
2024-11-11 12:33:00+05:30,226.25,226.25,226.25,226.25,,24242.6,24243.75,24232.05,24232.8
2024-11-11 12:34:00+05:30,226.25,226.25,226.25,226.25,625.0,24232.35,24233.65,24226.7,24228.4
2024-11-11 14:06:00+05:30,258.6,258.6,258.6,258.6,650.0,24134.15,24134.85,24127.3,24131.25
2024-11-11 14:07:00+05:30,250.25,250.25,250.25,250.25,700.0,24131.0,24133.1,24126.0,24132.4
2024-11-11 14:09:00+05:30,246.4,248.3,246.4,248.3,,24135.0,24135.65,24125.2,24125.5
2024-11-11 14:10:00+05:30,248.3,248.3,248.3,248.3,750.0,24125.0,24125.7,24118.8,24121.95
2024-11-11 14:11:00+05:30,247.25,247.25,247.25,247.25,800.0,24125.2,24131.95,24123.3,24124.85
2024-11-11 14:59:00+05:30,238.45,238.45,238.45,238.45,850.0,24165.85,24170.5,24163.3,24167.9
2024-11-11 15:20:00+05:30,237.55,237.55,237.55,237.55,,24131.15,24131.15,24121.4,24124.3
2024-11-11 15:21:00+05:30,237.55,237.55,237.55,237.55,1750.0,24126.4,24136.1,24124.35,24134.95
2024-11-11 15:23:00+05:30,242.65,242.65,242.65,242.65,1800.0,24136.6,24141.4,24132.6,24134.7
2024-11-11 15:25:00+05:30,242.0,242.0,242.0,242.0,,24135.7,24136.65,24129.5,24130.05
2024-11-11 15:26:00+05:30,242.55,242.65,242.55,242.65,2800.0,24129.5,24131.05,24126.2,24128.45
2024-11-11 15:27:00+05:30,241.75,241.75,241.75,241.75,2850.0,24128.3,24132.3,24125.1,24131.25
2024-11-11 15:28:00+05:30,241.2,242.1,241.2,242.1,3050.0,24131.9,24133.05,24121.9,24126.15
2024-11-12 10:16:00+05:30,230.0,230.0,230.0,230.0,250.0,24163.35,24174.0,24163.35,24174.0
2024-11-12 10:35:00+05:30,235.0,235.0,235.0,235.0,,24158.25,24160.2,24142.65,24149.45
2024-11-12 10:36:00+05:30,235.0,235.0,235.0,235.0,500.0,24149.9,24151.5,24129.3,24129.85
2024-11-12 12:09:00+05:30,240.0,240.0,240.0,240.0,525.0,24131.9,24132.75,24126.35,24127.15
2024-11-12 12:33:00+05:30,245.0,245.0,245.0,245.0,,24111.05,24111.75,24099.9,24107.4
2024-11-12 12:34:00+05:30,245.0,245.0,245.0,245.0,550.0,24107.65,24108.35,24098.0,24108.35
2024-11-12 12:40:00+05:30,255.45,255.45,255.45,255.45,700.0,24105.7,24107.2,24064.7,24066.45
2024-11-12 12:47:00+05:30,272.75,272.75,272.75,272.75,,24034.1,24039.4,24027.7,24032.65
