DT,LO,LH,LL,LC,LV,MO,MH,ML,MC
2024-11-08 09:15:00+05:30,542.95,547.0,510.0,512.0,1600.0,24207.7,24220.45,24122.25,24125.9
2024-11-08 09:16:00+05:30,509.25,514.95,501.0,502.5,,24128.4,24144.35,24117.75,24118.55
2024-11-08 09:17:00+05:30,499.0,499.0,493.55,493.55,8000.0,24116.8,24116.8,24090.85,24109.6
2024-11-08 09:18:00+05:30,495.0,500.5,494.05,498.0,11425.0,24110.15,24114.25,24100.15,24102.65
2024-11-08 09:19:00+05:30,497.45,497.45,483.4,488.5,14725.0,24102.15,24104.3,24077.35,24086.75
2024-11-08 09:20:00+05:30,486.55,486.55,476.5,480.05,17325.0,24085.9,24085.9,24067.45,24074.05
2024-11-08 09:21:00+05:30,478.3,492.35,478.3,483.0,19625.0,24073.3,24102.7,24072.15,24089.75
2024-11-08 09:22:00+05:30,485.95,487.5,480.3,481.3,20950.0,24090.15,24094.5,24075.6,24077.45
2024-11-08 09:23:00+05:30,483.8,489.2,483.3,487.0,22525.0,24077.4,24086.55,24076.5,24083.15
2024-11-08 09:24:00+05:30,481.9,494.0,479.95,489.0,24450.0,24083.2,24094.4,24074.25,24091.55
2024-11-08 09:25:00+05:30,493.15,523.05,493.15,522.6,27800.0,24092.5,24148.85,24092.5,24148.85
2024-11-08 09:26:00+05:30,527.7,550.0,527.7,538.0,30650.0,24153.05,24192.3,24153.05,24167.75
2024-11-08 09:27:00+05:30,539.4,539.4,509.75,519.4,31225.0,24166.8,24167.7,24126.1,24132.4
2024-11-08 09:28:00+05:30,517.95,531.85,517.95,531.85,32100.0,24133.8,24156.1,24132.2,24154.9
2024-11-08 09:29:00+05:30,538.2,547.05,536.35,536.35,32875.0,24155.4,24186.7,24151.05,24170.5
2024-11-08 09:30:00+05:30,535.0,536.3,532.3,536.3,33575.0,24170.35,24171.4,24155.65,24170.65
2024-11-08 09:31:00+05:30,546.95,565.95,546.95,561.15,33850.0,24170.45,24207.05,24167.85,24199.55
2024-11-08 09:32:00+05:30,562.0,562.0,560.75,560.75,33975.0,24199.45,24204.2,24186.9,24187.4
2024-11-08 09:33:00+05:30,553.0,553.0,543.95,543.95,34200.0,24189.65,24189.65,24171.4,24174.0
2024-11-08 09:34:00+05:30,546.9,555.6,546.9,555.6,34425.0,24174.65,24189.15,24174.6,24186.35
2024-11-08 09:35:00+05:30,548.65,548.65,546.05,546.05,34475.0,24191.0,24194.25,24172.55,24173.9
2024-11-08 09:36:00+05:30,541.05,541.05,525.75,529.7,34775.0,24171.1,24172.15,24147.85,24155.85
2024-11-08 09:37:00+05:30,535.0,535.0,526.7,529.05,35000.0,24155.3,24161.4,24141.2,24155.35
2024-11-08 09:38:00+05:30,535.0,535.0,530.0,533.0,56425.0,24153.55,24163.0,24146.4,24161.1
2024-11-08 09:39:00+05:30,539.95,543.85,539.25,539.25,56650.0,24160.95,24171.5,24151.85,24153.25
2024-11-08 09:40:00+05:30,526.2,530.8,526.2,530.8,56850.0,24153.6,24162.1,24146.45,24159.0
2024-11-08 09:41:00+05:30,534.15,555.15,534.15,545.6,57300.0,24159.25,24196.95,24159.0,24179.25
2024-11-08 09:42:00+05:30,551.35,559.5,551.35,559.1,57725.0,24178.55,24196.7,24178.35,24190.7
2024-11-08 09:43:00+05:30,561.6,561.6,550.75,550.75,58200.0,24191.3,24194.2,24184.35,24186.15
2024-11-08 09:44:00+05:30,546.8,553.95,546.8,553.95,58350.0,24185.9,24187.8,24174.55,24183.55
2024-11-08 09:45:00+05:30,550.2,637.95,550.2,595.75,61850.0,24183.3,24253.5,24183.3,24252.25
2024-11-08 09:46:00+05:30,610.75,616.25,600.0,616.25,63475.0,24257.05,24266.8,24246.35,24263.35
2024-11-08 09:47:00+05:30,614.2,626.7,614.2,617.5,63700.0,24262.3,24275.2,24253.7,24263.1
2024-11-08 09:48:00+05:30,611.4,611.4,610.25,610.25,63775.0,24263.45,24264.5,24248.7,24248.7
2024-11-08 09:49:00+05:30,600.25,604.25,597.45,603.0,64000.0,24247.05,24251.0,24239.9,24247.4
2024-11-08 09:50:00+05:30,599.6,599.6,590.0,592.5,64550.0,24247.35,24248.45,24227.7,24230.25
2024-11-08 09:51:00+05:30,580.55,581.95,578.75,581.45,64750.0,24229.95,24230.5,24206.1,24213.45
2024-11-08 09:52:00+05:30,579.25,583.75,570.0,570.0,64875.0,24213.25,24226.2,24199.45,24199.7
2024-11-08 09:53:00+05:30,559.0,562.3,526.15,545.15,66625.0,24198.55,24199.35,24146.35,24172.15
2024-11-08 09:54:00+05:30,545.0,546.05,545.0,546.05,66975.0,24170.9,24179.45,24170.9,24176.55
2024-11-08 09:55:00+05:30,555.8,555.8,541.4,541.4,67075.0,24175.45,24184.4,24155.8,24166.45
2024-11-08 09:56:00+05:30,551.95,559.0,551.95,559.0,67125.0,24166.75,24188.9,24165.55,24188.65
2024-11-08 09:57:00+05:30,561.15,561.15,550.0,550.0,67225.0,24188.7,24190.4,24173.8,24178.2
2024-11-08 09:59:00+05:30,554.6,559.05,554.6,558.05,67500.0,24185.2,24196.1,24183.25,24191.85
2024-11-08 10:00:00+05:30,561.0,563.75,544.05,544.05,68400.0,24192.35,24199.55,24170.85,24173.5
