,DT,LO,LH,LL,LC,LV,MO,MH,ML,MC
0,2024-11-08 09:37:00+05:30,240.0,240.0,240.0,240.0,50.0,24155.3,24161.4,24141.2,24155.35
1,2024-11-08 11:40:00+05:30,241.7,241.7,241.7,241.7,,24141.3,24145.65,24137.65,24144.7
2,2024-11-08 11:41:00+05:30,241.7,241.7,241.7,241.7,100.0,24144.8,24145.3,24139.5,24143.3
3,2024-11-08 13:53:00+05:30,207.75,207.75,207.75,207.75,,24166.2,24166.75,24152.15,24155.2
4,2024-11-08 13:54:00+05:30,207.75,207.75,207.75,207.75,150.0,24155.1,24160.0,24151.05,24159.8
5,2024-11-11 09:54:00+05:30,207.0,207.0,207.0,207.0,,24155.1,24161.05,24147.9,24160.15
6,2024-11-11 09:55:00+05:30,207.0,207.0,207.0,207.0,50.0,24159.85,24160.15,24149.15,24150.35
7,2024-11-11 10:26:00+05:30,209.3,209.3,209.3,209.3,,24167.25,24172.0,24162.55,24170.8
8,2024-11-11 10:27:00+05:30,187.95,187.95,187.95,187.95,450.0,24169.8,24198.55,24169.5,24198.55
9,2024-11-11 10:29:00+05:30,180.8,180.8,180.8,180.8,,24212.15,24223.85,24211.05,24223.85
10,2024-11-11 10:30:00+05:30,178.1,178.1,178.1,178.1,500.0,24224.8,24232.75,24221.95,24225.15
11,2024-11-11 10:31:00+05:30,176.9,176.9,174.55,174.55,600.0,24224.1,24239.05,24221.4,24230.6
12,2024-11-11 10:35:00+05:30,179.05,179.05,177.75,177.75,650.0,24220.5,24229.5,24218.45,24226.05
13,2024-11-12 09:15:00+05:30,177.75,177.75,177.75,177.75,,24225.8,24239.4,24208.4,24235.0
14,2024-11-12 09:16:00+05:30,177.75,177.75,177.75,177.75,25.0,24231.85,24232.6,24200.4,24209.55
15,2024-11-12 09:20:00+05:30,177.75,177.75,177.75,177.75,50.0,24207.25,24213.35,24186.7,24190.15
16,2024-11-12 10:54:00+05:30,187.6,190.75,187.6,190.75,,24131.8,24136.25,24126.4,24135.6
17,2024-11-12 10:55:00+05:30,190.75,190.75,190.75,190.75,225.0,24135.1,24145.4,24130.45,24143.75
18,2024-11-12 10:57:00+05:30,184.4,184.4,184.4,184.4,,24153.05,24154.55,24145.4,24149.3
19,2024-11-12 10:58:00+05:30,184.4,184.4,184.4,184.4,250.0,24150.55,24150.55,24141.4,24145.0
20,2024-11-12 11:03:00+05:30,193.0,193.0,193.0,193.0,,24152.8,24152.8,24143.25,24144.7
21,2024-11-12 11:04:00+05:30,193.0,193.0,193.0,193.0,275.0,24144.5,24144.7,24131.45,24136.25
22,2024-11-12 11:05:00+05:30,193.0,193.0,193.0,193.0,300.0,24134.0,24139.5,24127.6,24139.0
23,2024-11-12 11:09:00+05:30,185.0,185.0,185.0,185.0,,24146.9,24154.65,24146.4,24154.45
24,2024-11-12 11:10:00+05:30,185.0,185.0,185.0,185.0,375.0,24157.9,24160.6,24145.1,24146.7
25,2024-11-12 11:13:00+05:30,183.2,183.2,183.2,183.2,400.0,24150.55,24152.45,24144.8,24146.3
26,2024-11-12 11:30:00+05:30,191.95,191.95,191.95,191.95,425.0,24137.7,24139.65,24133.9,24137.8
27,2024-11-12 12:01:00+05:30,183.5,183.5,183.5,183.5,450.0,24129.9,24133.2,24126.4,24129.0
28,2024-11-12 14:50:00+05:30,213.55,244.4,213.55,244.4,475.0,23952.15,23962.25,23947.15,23962.25
29,2024-11-12 14:51:00+05:30,244.7,244.7,244.7,244.7,650.0,23961.35,23961.35,23949.5,23951.1
30,2024-11-12 14:55:00+05:30,256.9,256.9,256.9,256.9,,23942.4,23951.5,23940.85,23947.7
31,2024-11-12 14:56:00+05:30,256.9,256.9,256.9,256.9,675.0,23947.05,23951.0,23944.7,23949.7
32,2024-11-12 15:00:00+05:30,274.7,274.7,274.7,274.7,,23923.45,23929.7,23908.25,23912.25
33,2024-11-12 15:01:00+05:30,255.6,255.6,255.6,255.6,700.0,23913.35,23936.3,23913.35,23927.1
34,2024-11-12 15:02:00+05:30,255.6,255.6,255.6,255.6,725.0,23926.75,23931.7,23925.85,23926.7
35,2024-11-12 15:11:00+05:30,278.0,278.0,278.0,278.0,,23873.35,23879.65,23873.15,23873.15
36,2024-11-12 15:12:00+05:30,278.0,278.0,278.0,278.0,750.0,23873.55,23878.45,23871.7,23874.45
37,2024-11-12 15:13:00+05:30,298.8,298.8,298.8,298.8,775.0,23874.9,23875.6,23866.75,23867.25
38,2024-11-12 15:19:00+05:30,280.9,280.9,280.9,280.9,,23862.8,23875.35,23862.45,23872.25
39,2024-11-12 15:20:00+05:30,280.9,280.9,280.9,280.9,800.0,23872.85,23875.5,23866.65,23869.25
40,2024-11-13 09:28:00+05:30,309.8,309.8,309.8,309.8,,23823.35,23832.9,23819.4,23820.55
41,2024-11-13 09:29:00+05:30,309.8,309.8,309.8,309.8,50.0,23822.25,23825.2,23800.4,23800.4
42,2024-11-13 09:32:00+05:30,311.9,322.95,311.9,322.95,150.0,23852.2,23852.2,23826.1,23836.75
43,2024-11-13 09:33:00+05:30,322.95,322.95,322.95,322.95,175.0,23835.35,23837.25,23815.75,23821.7
44,2024-11-13 09:44:00+05:30,372.15,372.15,372.15,372.15,,23765.85,23768.75,23753.8,23755.6
45,2024-11-13 09:46:00+05:30,355.25,355.25,355.25,355.25,200.0,23752.0,23760.65,23742.7,23753.1
46,2024-11-13 09:47:00+05:30,355.25,355.25,355.25,355.25,225.0,23752.65,23752.65,23714.5,23718.15
47,2024-11-13 09:49:00+05:30,387.5,387.5,387.5,387.5,,23735.25,23735.25,23709.8,23722.65
48,2024-11-13 09:50:00+05:30,387.5,387.5,387.5,387.5,350.0,23722.1,23745.05,23720.05,23744.3
49,2024-11-13 09:54:00+05:30,344.65,344.65,344.65,344.65,,23770.25,23778.3,23760.75,23772.0
50,2024-11-13 09:55:00+05:30,355.6,355.6,355.6,355.6,375.0,23772.2,23786.35,23768.3,23768.3
51,2024-11-13 09:56:00+05:30,355.6,355.6,355.6,355.6,400.0,23769.55,23773.75,23764.45,23766.45
52,2024-11-13 14:30:00+05:30,431.3,431.3,419.25,426.65,475.0,23596.85,23606.75,23590.5,23590.95
53,2024-11-13 14:31:00+05:30,435.9,435.9,435.6,435.6,,23590.75,23596.7,23583.6,23595.95
54,2024-11-13 14:32:00+05:30,435.6,435.6,435.6,435.6,725.0,23595.85,23597.35,23585.95,23586.35
55,2024-11-14 09:35:00+05:30,430.0,430.0,430.0,430.0,,23587.55,23590.65,23577.4,23582.4
56,2024-11-14 09:36:00+05:30,430.0,430.0,430.0,430.0,75.0,23582.6,23600.6,23578.95,23589.15
57,2024-11-14 10:21:00+05:30,375.75,375.75,375.75,375.75,,23606.4,23621.65,23604.85,23608.25
58,2024-11-14 10:23:00+05:30,375.75,375.75,375.75,375.75,100.0,23614.05,23619.65,23611.3,23616.7
59,2024-11-18 10:25:00+05:30,495.0,495.0,495.0,495.0,,23453.25,23453.45,23442.25,23444.05
60,2024-11-18 10:26:00+05:30,520.0,520.0,520.0,520.0,25.0,23444.0,23444.05,23432.15,23436.15
61,2024-11-18 10:27:00+05:30,520.0,520.0,520.0,520.0,50.0,23435.85,23436.55,23421.45,23425.85
62,2024-11-18 10:28:00+05:30,525.0,525.0,525.0,525.0,75.0,23425.1,23425.8,23408.95,23415.8
63,2024-11-18 12:52:00+05:30,434.95,434.95,434.95,434.95,125.0,23516.95,23517.15,23503.3,23506.25
64,2024-11-19 09:44:00+05:30,325.0,325.0,325.0,325.0,50.0,23687.95,23702.6,23687.35,23702.6
65,2024-11-19 09:45:00+05:30,320.15,322.25,316.75,317.0,875.0,23701.9,23706.55,23697.6,23706.25
66,2024-11-19 09:47:00+05:30,320.75,320.75,320.2,320.2,975.0,23701.45,23704.6,23696.05,23700.0
67,2024-11-19 09:48:00+05:30,326.3,326.3,326.3,326.3,,23697.3,23699.25,23686.25,23687.05
68,2024-11-19 09:49:00+05:30,336.85,336.9,336.85,336.9,1000.0,23686.65,23686.95,23670.7,23671.6
69,2024-11-19 09:50:00+05:30,336.9,336.9,336.9,336.9,1200.0,23672.95,23677.35,23655.95,23659.15
70,2024-11-19 09:51:00+05:30,346.1,346.1,346.1,346.1,,23658.3,23662.5,23645.4,23656.45
71,2024-11-19 09:52:00+05:30,346.1,346.1,346.1,346.1,1450.0,23656.1,23659.0,23647.55,23658.85
72,2024-11-19 09:53:00+05:30,340.65,340.65,340.6,340.6,1550.0,23659.85,23672.35,23659.85,23672.35
73,2024-11-19 09:57:00+05:30,333.05,333.05,332.75,332.75,,23674.05,23680.9,23670.8,23673.0
74,2024-11-19 09:58:00+05:30,332.75,332.75,332.75,332.75,1650.0,23672.85,23679.7,23672.15,23679.15
75,2024-11-19 09:59:00+05:30,334.55,334.55,334.55,334.55,,23679.4,23680.6,23674.9,23675.7
76,2024-11-19 10:00:00+05:30,323.0,323.0,323.0,323.0,1700.0,23675.8,23698.1,23675.8,23692.2
77,2024-11-19 10:01:00+05:30,323.0,323.0,323.0,323.0,1750.0,23691.9,23696.7,23691.0,23694.25
78,2024-11-19 10:02:00+05:30,324.05,324.05,324.05,324.05,,23694.95,23695.5,23690.1,23693.25
79,2024-11-19 10:03:00+05:30,324.05,324.05,324.05,324.05,1800.0,23692.25,23702.3,23690.55,23691.5
80,2024-11-19 10:23:00+05:30,317.55,317.55,317.55,317.55,,23699.25,23705.7,23699.25,23705.7
81,2024-11-19 10:24:00+05:30,317.55,317.55,317.55,317.55,1825.0,23705.8,23708.85,23704.0,23708.0
