DT,LO,LH,LL,LC,LV,MO,MH,ML,MC
2024-11-08 09:15:00+05:30,623.9,623.9,584.2,589.85,175.0,24207.7,24220.45,24122.25,24125.9
2024-11-08 09:16:00+05:30,587.85,591.85,575.5,575.5,1300.0,24128.4,24144.35,24117.75,24118.55
2024-11-08 09:17:00+05:30,574.4,578.0,568.3,578.0,,24116.8,24116.8,24090.85,24109.6
2024-11-08 09:18:00+05:30,575.7,580.45,575.0,575.0,1825.0,24110.15,24114.25,24100.15,24102.65
2024-11-08 09:19:00+05:30,570.1,570.1,567.05,567.05,2275.0,24102.15,24104.3,24077.35,24086.75
2024-11-08 09:20:00+05:30,560.2,560.2,557.1,560.1,2450.0,24085.9,24085.9,24067.45,24074.05
2024-11-08 09:21:00+05:30,566.0,566.0,563.65,563.65,2725.0,24073.3,24102.7,24072.15,24089.75
2024-11-08 09:22:00+05:30,564.0,564.0,560.0,561.0,2950.0,24090.15,24094.5,24075.6,24077.45
2024-11-08 09:23:00+05:30,564.0,564.9,563.05,564.9,3175.0,24077.4,24086.55,24076.5,24083.15
2024-11-08 09:24:00+05:30,563.05,563.05,560.05,563.0,3400.0,24083.2,24094.4,24074.25,24091.55
2024-11-08 09:25:00+05:30,567.05,598.0,567.05,597.95,5600.0,24092.5,24148.85,24092.5,24148.85
2024-11-08 09:26:00+05:30,600.0,620.0,600.0,604.0,7650.0,24153.05,24192.3,24153.05,24167.75
2024-11-08 09:27:00+05:30,606.0,606.0,584.05,590.0,9025.0,24166.8,24167.7,24126.1,24132.4
2024-11-08 09:28:00+05:30,594.0,600.85,594.0,600.85,9575.0,24133.8,24156.1,24132.2,24154.9
2024-11-08 09:29:00+05:30,607.0,607.0,607.0,607.0,9600.0,24155.4,24186.7,24151.05,24170.5
2024-11-08 09:30:00+05:30,603.35,605.0,603.35,605.0,9725.0,24170.35,24171.4,24155.65,24170.65
2024-11-08 09:31:00+05:30,616.0,626.5,616.0,626.5,10200.0,24170.45,24207.05,24167.85,24199.55
2024-11-08 09:32:00+05:30,624.55,628.8,618.7,618.7,10600.0,24199.45,24204.2,24186.9,24187.4
2024-11-08 09:33:00+05:30,614.25,614.95,614.25,614.95,10725.0,24189.65,24189.65,24171.4,24174.0
2024-11-08 09:34:00+05:30,616.55,620.05,616.55,619.05,13375.0,24174.65,24189.15,24174.6,24186.35
2024-11-08 09:35:00+05:30,626.0,626.0,613.2,613.2,14400.0,24191.0,24194.25,24172.55,24173.9
2024-11-08 09:36:00+05:30,612.0,615.0,598.0,603.0,15750.0,24171.1,24172.15,24147.85,24155.85
2024-11-08 09:37:00+05:30,603.05,606.0,595.0,600.9,17850.0,24155.3,24161.4,24141.2,24155.35
