,DT,DO,DH,DL,DC,DV
0,2023-10-03 00:00:00+05:30,19622.4,19623.2,19479.65,19528.75,
1,2023-10-04 00:00:00+05:30,19446.3,19457.8,19333.6,19436.1,
2,2023-10-05 00:00:00+05:30,19521.85,19576.95,19487.3,19545.75,
3,2023-10-06 00:00:00+05:30,19621.2,19675.75,19589.4,19653.5,
4,2023-10-09 00:00:00+05:30,19539.45,19588.95,19480.5,19512.35,
5,2023-10-10 00:00:00+05:30,19565.6,19717.8,19565.45,19689.85,
6,2023-10-11 00:00:00+05:30,19767.0,19839.2,19756.95,19811.35,
7,2023-10-12 00:00:00+05:30,19822.7,19843.3,19772.65,19794.0,
8,2023-10-13 00:00:00+05:30,19654.55,19805.4,19635.3,19751.05,
9,2023-10-16 00:00:00+05:30,19737.25,19781.3,19691.85,19731.75,
10,2023-10-17 00:00:00+05:30,19843.2,19849.75,19775.65,19811.5,
11,2023-10-18 00:00:00+05:30,19820.45,19840.95,19659.95,19671.1,
12,2023-10-19 00:00:00+05:30,19545.2,19681.8,19512.35,19624.7,
13,2023-10-20 00:00:00+05:30,19542.15,19593.8,19518.7,19542.65,
14,2023-10-23 00:00:00+05:30,19521.6,19556.849609375,19257.849609375,19281.75,
15,2023-10-25 00:00:00+05:30,19286.45,19347.30078125,19074.150390625,19122.150390625,
16,2023-10-26 00:00:00+05:30,19027.25,19041.69921875,18837.849609375,18857.25,
17,2023-10-27 00:00:00+05:30,18928.75,19076.150390625,18926.650390625,19047.25,
18,2023-10-30 00:00:00+05:30,19053.4,19158.5,18940.0,19140.900390625,
19,2023-10-31 00:00:00+05:30,19232.95,19233.69921875,19056.44921875,19079.599609375,
20,2023-11-01 00:00:00+05:30,19064.05,19096.05078125,18973.69921875,18989.150390625,
21,2023-11-02 00:00:00+05:30,19120.0,19175.25,19064.150390625,19133.25,
22,2023-11-03 00:00:00+05:30,19241.0,19276.25,19210.900390625,19230.599609375,
23,2023-11-06 00:00:00+05:30,19345.85,19423.0,19309.69921875,19411.75,
24,2023-11-07 00:00:00+05:30,19404.05,19423.5,19329.099609375,19406.69921875,
25,2023-11-08 00:00:00+05:30,19449.6,19464.400390625,19401.5,19443.5,
26,2023-11-09 00:00:00+05:30,19457.4,19463.900390625,19378.349609375,19395.30078125,
27,2023-11-10 00:00:00+05:30,19351.85,19451.30078125,19329.44921875,19425.349609375,
28,2023-11-12 00:00:00+05:30,19547.25,19547.25,19510.25,19525.55078125,
29,2023-11-13 00:00:00+05:30,19486.75,19494.400390625,19414.75,19443.55078125,
30,2023-11-15 00:00:00+05:30,19651.4,19693.19921875,19579.650390625,19675.44921875,
31,2023-11-16 00:00:00+05:30,19674.7,19875.25,19627.0,19765.19921875,
32,2023-11-17 00:00:00+05:30,19674.75,19806.0,19667.44921875,19731.80078125,
33,2023-11-20 00:00:00+05:30,19731.15,19756.44921875,19670.5,19694.0,
34,2023-11-21 00:00:00+05:30,19770.9,19829.099609375,19754.05078125,19783.400390625,
35,2023-11-22 00:00:00+05:30,19784.0,19825.55078125,19703.849609375,19811.849609375,
36,2023-11-23 00:00:00+05:30,19828.45,19875.150390625,19786.75,19802.0,
37,2023-11-24 00:00:00+05:30,19809.6,19832.849609375,19768.849609375,19794.69921875,
38,2023-11-28 00:00:00+05:30,19844.65,19916.849609375,19800.0,19889.69921875,
39,2023-11-29 00:00:00+05:30,19976.55,20104.650390625,19956.30078125,20096.599609375,
40,2023-11-30 00:00:00+05:30,20108.5,20158.69921875,20015.849609375,20133.150390625,
41,2023-12-01 00:00:00+05:30,20194.1,20291.55078125,20183.69921875,20267.900390625,
42,2023-12-04 00:00:00+05:30,20601.95,20702.650390625,20507.75,20686.80078125,
43,2023-12-05 00:00:00+05:30,20808.9,20864.05078125,20711.150390625,20855.099609375,
44,2023-12-06 00:00:00+05:30,20950.75,20961.94921875,20852.150390625,20937.69921875,
45,2023-12-07 00:00:00+05:30,20932.4,20941.25,20850.80078125,20901.150390625,
46,2023-12-08 00:00:00+05:30,20934.1,21006.099609375,20862.69921875,20969.400390625,
47,2023-12-11 00:00:00+05:30,20965.3,21026.099609375,20923.69921875,20997.099609375,
48,2023-12-12 00:00:00+05:30,21018.55,21037.900390625,20867.150390625,20906.400390625,
49,2023-12-13 00:00:00+05:30,20929.75,20950.0,20769.5,20926.349609375,
50,2023-12-14 00:00:00+05:30,21110.4,21210.900390625,21074.44921875,21182.69921875,
51,2023-12-15 00:00:00+05:30,21287.45,21492.30078125,21235.30078125,21456.650390625,
52,2023-12-18 00:00:00+05:30,21434.8,21482.80078125,21365.349609375,21418.650390625,
53,2023-12-19 00:00:00+05:30,21477.65,21505.05078125,21337.75,21453.099609375,
54,2023-12-20 00:00:00+05:30,21543.5,21593.0,21087.349609375,21150.150390625,
55,2023-12-21 00:00:00+05:30,21033.95,21288.349609375,20976.80078125,21255.05078125,
56,2023-12-22 00:00:00+05:30,21295.85,21390.5,21232.44921875,21349.400390625,
57,2023-12-26 00:00:00+05:30,21365.2,21477.150390625,21329.44921875,21441.349609375,
58,2023-12-27 00:00:00+05:30,21497.65,21675.75,21495.80078125,21654.75,
59,2023-12-28 00:00:00+05:30,21715.0,21801.44921875,21678.0,21778.69921875,
60,2023-12-29 00:00:00+05:30,21737.65,21770.30078125,21676.900390625,21731.400390625,
61,2024-01-01 00:00:00+05:30,21727.75,21834.349609375,21680.849609375,21741.900390625,
62,2024-01-02 00:00:00+05:30,21751.35,21755.599609375,21555.650390625,21665.80078125,
63,2024-01-03 00:00:00+05:30,21661.1,21677.0,21500.349609375,21517.349609375,
64,2024-01-04 00:00:00+05:30,21605.8,21685.650390625,21564.55078125,21658.599609375,
65,2024-01-05 00:00:00+05:30,21705.75,21749.599609375,21629.19921875,21710.80078125,
66,2024-01-08 00:00:00+05:30,21747.6,21763.94921875,21492.900390625,21513.0,
67,2024-01-09 00:00:00+05:30,21653.6,21724.44921875,21517.849609375,21544.849609375,
